Customer_ID,Age,Salary,Department,Sales,Purchase_Date
C001,25,45000,IT,12000,2026-01-05
C002,32,55000,HR,18000,2026-01-08
C003,twenty,48000,Finance,15000,2026-01-12
C004,41,not_available,IT,25000,2026-01-15
C005,35,62000,Sales,22000,2026-01-18
C006,,51000,Marketing,17000,2026-01-20
C007,45,80000,Finance,-5000,2026-01-22
C008,31,57000,Unknown_Department,21000,2026-01-25
C009,26,43000,HR,14000,invalid-date
C010,38,68000,IT,abc,2026-02-01
C011,30,52000,Marketing,16000,2026-02-04
C012,150,75000,Finance,29000,2026-02-07
C013,27,46000,Sales,13000,2026-02-10
C014,36,,HR,20000,2026-02-12
C015,33,59000,IT,,2026-02-15
